"postCode","actUseTypTxt","count"
"822684","4-room","32"
"822684","5-room","83"
"822683","3-room","32"
"822683","4-room","44"
"822682","4-room","48"
"822682","5-room","32"
"822679","4-room","26"
"822679","5-room","26"
"822678","4-room","78"
"822678","5-room","46"
"822677","Studio Apartment","75"
"822677","2-room","17"
"822677","4-room","32"
"822676","4-room","72"
"822676","5-room","44"
"822673","3-room","32"
"822673","4-room","60"
"822672","2-room","64"
"822672","3-room","64"
"822671","4-room","84"
"822670","4-room","96"
"822670","5-room","32"
"822669","3-room","32"
"822669","4-room","74"
"822669","5-room","74"
"822668","4-room","44"
"822668","5-room","44"
"822667","3-room","12"
"822667","4-room","12"
"822667","5-room","24"
"822666","4-room","34"
"822666","5-room","66"
"822665","4-room","32"
"822665","5-room","32"
"822664","4-room","34"
"822664","5-room","54"
"822663","4-room","34"
"822663","5-room","62"
"822662","3-room","52"
"822662","4-room","70"
"822661","4-room","67"
"822661","5-room","49"
"822659","2-room","34"
"822659","3-room","50"
"822659","4-room","34"
"822658","4-room","18"
"822658","5-room","34"
"822642","4-room","30"
"822642","5-room","58"
"822641","4-room","15"
"822641","5-room","61"
"822638","4-room","15"
"822638","5-room","61"
"822637","4-room","30"
"822637","5-room","58"
"822636","4-room","51"
"822635","4-room","63"
"822633","4-room","51"
"822632","4-room","63"
"822624","4-room","101"
"822623","2-room","51"
"822623","3-room","34"
"822623","4-room","51"
"822622","2-room","48"
"822622","3-room","33"
"822622","4-room","51"
"822621","1-room","208"
"822621","2-room","48"
"822619","4-room","92"
"822618","4-room","14"
"822618","5-room","47"
"822617","4-room","14"
"822617","5-room","47"
"822615","4-room","95"
"822614","4-room","96"
"822613","3-room","30"
"822613","4-room","60"
"822612","4-room","90"
"822604","4-room","90"
"822603","4-room","90"
"822602","2-room","15"
"822602","3-room","30"
"822602","4-room","45"
"822601","2-room","15"
"822601","3-room","30"
"822601","4-room","45"
"822327","2-room","114"
"822327","3-room","38"
"822326","1-room","95"
"822326","2-room","95"
"822322","4-room","38"
"822322","5-room","46"
"822316","3-room","14"
"822316","4-room","26"
"822316","5-room","37"
"822315","3-room","34"
"822315","4-room","102"
"822315","5-room","32"
"822314","3-room","32"
"822314","4-room","100"
"822314","5-room","34"
"822313","4-room","45"
"822313","5-room","44"
"822312","4-room","45"
"822312","5-room","45"
"822310","3-room","34"
"822310","4-room","170"
"822310","5-room","83"
"822308","3-room","34"
"822308","4-room","166"
"822308","5-room","82"
"822306","3-room","14"
"822306","4-room","96"
"822306","5-room","2"
"822305","3-room","14"
"822305","4-room","64"
"822305","5-room","2"
"822303","4-room","60"
"822302","4-room","60"
"822301","4-room","60"
"822289","3-room","30"
"822289","4-room","90"
"822288","3-room","30"
"822288","4-room","60"
"822274","4-room","47"
"822274","5-room","46"
"822273","4-room","46"
"822273","5-room","47"
"822272","4-room","58"
"822272","5-room","30"
"822271","4-room","58"
"822271","5-room","32"
"822270","4-room","57"
"822270","5-room","32"
"822269","4-room","87"
"822269","5-room","2"
"822268","4-room","87"
"822268","5-room","2"
"822267","4-room","57"
"822267","5-room","32"
"822266","3-room","48"
"822266","4-room","64"
"822265","4-room","32"
"822265","5-room","32"
"822261","4-room","32"
"822261","5-room","32"
"822260","4-room","32"
"822260","5-room","32"
"822259","3-room","64"
"822259","4-room","32"
"822258","3-room","32"
"822258","4-room","32"
"822256","2-room","48"
"822256","3-room","16"
"822256","4-room","64"
"822234","4-room","48"
"822234","5-room","48"
"822233","4-room","48"
"822233","5-room","48"
"822232","4-room","48"
"822232","5-room","48"
"822231","4-room","32"
"822231","5-room","64"
"822227","4-room","60"
"822227","5-room","35"
"822226","4-room","54"
"822226","5-room","42"
"822224","3-room","80"
"822224","4-room","80"
"822221","2-room","64"
"822221","3-room","32"
"822221","4-room","48"
"822220","3-room","80"
"822220","4-room","80"
"822217","4-room","80"
"822217","5-room","48"
"822213","4-room","30"
"822213","5-room","90"
"822212","3-room","60"
"822212","4-room","60"
"822211","Studio Apartment","42"
"822211","2-room","3"
"822211","3-room","28"
"822211","4-room","56"
"822210","3-room","30"
"822210","4-room","60"
"822209","3-room","30"
"822209","4-room","75"
"822208","3-room","90"
"822208","4-room","15"
"822207","4-room","40"
"822207","5-room","41"
"822204","4-room","26"
"822204","5-room","52"
"822203","4-room","27"
"822203","5-room","90"
"822202","4-room","30"
"822202","5-room","60"
"822201","4-room","27"
"822201","5-room","54"
"822199","4-room","28"
"822199","5-room","58"
"822197","5-room","75"
"822196","4-room","28"
"822196","5-room","58"
"822195","4-room","90"
"822176","4-room","25"
"822176","5-room","60"
"822175","4-room","24"
"822175","5-room","58"
"822174","4-room","25"
"822174","5-room","60"
"822173","4-room","24"
"822173","5-room","58"
"822172","5-room","126"
"822171","5-room","124"
"822170","4-room","50"
"822170","5-room","16"
"822169","4-room","67"
"822168","4-room","68"
"822167","4-room","68"
"822166","4-room","37"
"822166","5-room","62"
"822165","4-room","37"
"822165","5-room","72"
"822163","4-room","36"
"822163","5-room","62"
"822162","4-room","37"
"822162","5-room","62"
"822161","4-room","37"
"822161","5-room","72"
"822160","4-room","36"
"822160","5-room","62"
"822128","5-room","86"
"822126","5-room","86"
"822122","3-room","32"
"822122","4-room","80"
"822122","5-room","32"
"822121","4-room","80"
"822121","5-room","32"
"822120","3-room","32"
"822120","4-room","80"
"822120","5-room","32"
"822110","4-room","56"
"822110","5-room","26"
"822109","4-room","27"
"822109","5-room","58"
"822107","4-room","27"
"822107","5-room","58"
"822106","4-room","56"
"822106","5-room","26"
"822105","4-room","28"
"822105","5-room","57"
"822104","4-room","32"
"822104","5-room","60"
"822103","5-room","90"
"822102","5-room","86"
"822101","5-room","92"
"821684","4-room","64"
"821684","5-room","64"
"821683","3-room","63"
"821683","4-room","64"
"821682","3-room","31"
"821682","4-room","64"
"821682","5-room","32"
"821679","4-room","60"
"821679","5-room","30"
"821678","4-room","94"
"821677","Studio Apartment","49"
"821677","2-room","15"
"821677","4-room","32"
"821677","5-room","30"
"821676","4-room","88"
"821673","3-room","34"
"821673","4-room","82"
"821672","2-room","30"
"821672","3-room","90"
"821671","4-room","128"
"821670","3-room","96"
"821670","4-room","32"
"821669","5-room","68"
"821668","4-room","84"
"821668","5-room","28"
"821667","3-room","24"
"821667","4-room","48"
"821667","5-room","24"
"821666","3-room","32"
"821666","4-room","32"
"821666","5-room","34"
"821665","4-room","96"
"821665","5-room","32"
"821664","3-room","68"
"821664","4-room","68"
"821664","5-room","34"
"821663","3-room","117"
"821663","4-room","66"
"821663","5-room","32"
"821662","3-room","50"
"821662","4-room","85"
"821661","3-room","50"
"821661","4-room","85"
"821659","4-room","34"
"821659","5-room","68"
"821658","3-room","34"
"821658","4-room","34"
"821658","5-room","26"
"821642","4-room","30"
"821642","5-room","64"
"821641","4-room","30"
"821641","5-room","64"
"821638","4-room","30"
"821638","5-room","64"
"821637","4-room","30"
"821637","5-room","64"
"821636","4-room","63"
"821635","4-room","63"
"821633","4-room","63"
"821632","4-room","63"
"821624","4-room","102"
"821623","2-room","34"
"821623","3-room","51"
"821623","4-room","51"
"821622","2-room","34"
"821622","3-room","51"
"821622","4-room","49"
"821621","1-room","208"
"821621","2-room","48"
"821619","4-room","92"
"821618","4-room","88"
"821617","4-room","88"
"821615","4-room","95"
"821614","4-room","96"
"821613","4-room","90"
"821612","4-room","96"
"821604","4-room","90"
"821603","4-room","90"
"821602","2-room","15"
"821602","3-room","30"
"821602","4-room","45"
"821601","2-room","15"
"821601","3-room","30"
"821601","4-room","44"
"821327","2-room","80"
"821327","3-room","80"
"821326","1-room","120"
"821326","2-room","120"
"821322","4-room","38"
"821322","5-room","46"
"821316","3-room","34"
"821316","4-room","32"
"821316","5-room","36"
"821315","3-room","64"
"821315","4-room","64"
"821315","5-room","32"
"821314","3-room","64"
"821314","4-room","64"
"821314","5-room","32"
"821313","3-room","60"
"821313","4-room","90"
"821312","3-room","112"
"821312","4-room","28"
"821310","3-room","32"
"821310","4-room","138"
"821310","5-room","85"
"821308","3-room","68"
"821308","4-room","248"
"821308","5-room","140"
"821306","3-room","14"
"821306","4-room","96"
"821306","5-room","2"
"821305","3-room","14"
"821305","4-room","64"
"821305","5-room","2"
"821303","4-room","59"
"821302","4-room","75"
"821301","4-room","80"
"821289","3-room","30"
"821289","4-room","90"
"821288","4-room","45"
"821288","5-room","45"
"821274","4-room","90"
"821273","4-room","90"
"821272","4-room","58"
"821272","5-room","30"
"821271","4-room","120"
"821270","4-room","57"
"821270","5-room","32"
"821269","4-room","72"
"821269","5-room","17"
"821268","4-room","29"
"821268","5-room","30"
"821267","4-room","57"
"821267","5-room","32"
"821266","Studio Apartment","56"
"821266","2-room","4"
"821266","4-room","30"
"821266","5-room","30"
"821265","Studio Apartment","62"
"821265","2-room","2"
"821265","4-room","32"
"821265","5-room","32"
"821264","Studio Apartment","61"
"821264","2-room","3"
"821264","4-room","32"
"821264","5-room","32"
"821261","3-room","88"
"821261","4-room","32"
"821260","4-room","30"
"821260","5-room","32"
"821259","4-room","64"
"821259","5-room","30"
"821258","4-room","64"
"821258","5-room","30"
"821256","2-room","48"
"821256","3-room","16"
"821256","4-room","64"
"821234","2-room","32"
"821234","3-room","48"
"821234","4-room","32"
"821233","2-room","160"
"821233","3-room","32"
"821232","4-room","32"
"821232","5-room","64"
"821231","4-room","60"
"821231","5-room","30"
"821227","4-room","60"
"821227","5-room","35"
"821226","4-room","54"
"821226","5-room","42"
"821224","3-room","68"
"821224","4-room","68"
"821223","1-room","280"
"821223","2-room","224"
"821222","2-room","64"
"821222","3-room","32"
"821222","4-room","48"
"821221","3-room","90"
"821221","4-room","60"
"821220","2-room","32"
"821220","3-room","48"
"821220","4-room","78"
"821217","4-room","61"
"821217","5-room","63"
"821213","4-room","55"
"821213","5-room","59"
"821212","3-room","45"
"821212","4-room","69"
"821211","Studio Apartment","27"
"821211","2-room","1"
"821211","3-room","30"
"821211","4-room","54"
"821210","3-room","30"
"821210","4-room","60"
"821209","3-room","30"
"821209","4-room","75"
"821208","3-room","75"
"821208","4-room","15"
"821207","4-room","55"
"821207","5-room","26"
"821206","1-room","285"
"821206","2-room","90"
"821205","4-room","30"
"821205","5-room","60"
"821204","4-room","30"
"821204","5-room","82"
"821203","4-room","30"
"821203","5-room","60"
"821202","4-room","27"
"821202","5-room","90"
"821201","4-room","27"
"821201","5-room","54"
"821199","4-room","28"
"821199","5-room","58"
"821197","5-room","75"
"821196","4-room","28"
"821196","5-room","58"
"821195","4-room","90"
"821176","5-room","92"
"821175","4-room","32"
"821175","5-room","76"
"821174","5-room","92"
"821173","4-room","32"
"821173","5-room","128"
"821172","4-room","60"
"821172","5-room","60"
"821171","4-room","58"
"821171","5-room","58"
"821170","4-room","51"
"821170","5-room","16"
"821169","4-room","33"
"821169","5-room","29"
"821168","4-room","68"
"821167","4-room","85"
"821166","4-room","37"
"821166","5-room","62"
"821165","4-room","37"
"821165","5-room","72"
"821163","4-room","36"
"821163","5-room","62"
"821162","4-room","37"
"821162","5-room","62"
"821161","4-room","37"
"821161","5-room","72"
"821160","4-room","36"
"821160","5-room","62"
"821128","4-room","75"
"821128","5-room","96"
"821126","4-room","75"
"821126","5-room","96"
"821122","3-room","32"
"821122","4-room","80"
"821122","5-room","32"
"821121","1-room","170"
"821121","2-room","276"
"821120","3-room","32"
"821120","4-room","80"
"821120","5-room","32"
"821110","4-room","30"
"821110","5-room","101"
"821109","5-room","86"
"821107","5-room","86"
"821106","4-room","30"
"821106","5-room","101"
"821105","4-room","28"
"821105","5-room","57"
"821104","4-room","32"
"821104","5-room","60"
"821103","5-room","96"
"821102","4-room","28"
"821102","5-room","57"
"821101","4-room","26"
"821101","5-room","56"
"820652","4-room","33"
"820652","5-room","70"
"820651","4-room","31"
"820651","5-room","60"
"820649","4-room","19"
"820649","5-room","80"
"820648","4-room","19"
"820648","5-room","74"
"820647","4-room","33"
