year,level_1,level_2,level_3,value
2000,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,4140
2000,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,4555
2000,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,3071
2001,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,97387
2001,Residents,Total HDB Dwellings,HDB 3-Room Flats,677179
2001,Residents,Total HDB Dwellings,HDB 4-Room Flats,1148715
2001,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,868694
2001,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3874
2001,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,35589
2001,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,81435
2001,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,72721
2001,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4318
2001,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,36031
2001,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,92283
2001,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,79500
2001,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3936
2001,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,37269
2001,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,88660
2001,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,73413
2001,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4758
2001,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,39382
2001,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,78075
2001,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,55409
2001,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5327
2001,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,49198
2001,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,78151
2001,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,50074
2001,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5713
2001,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,61375
2001,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,96891
2001,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,63954
2001,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5302
2001,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,55058
2001,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,104074
2001,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,84395
2001,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6039
2001,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,59407
2001,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,114367
2001,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,92804
2001,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7970
2001,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,60548
2001,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,107726
2001,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,87120
2001,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8062
2001,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,56583
2001,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,91903
2001,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,69098
2001,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7924
2001,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,53262
2001,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,71274
2001,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,50460
2001,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5860
2001,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,33861
2001,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,38419
2001,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,24957
2001,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7226
2001,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,35449
2001,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,34875
2001,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,21572
2001,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6745
2001,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,25757
2001,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,26785
2001,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,15643
2001,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6250
2001,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,17823
2001,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,20252
2001,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,12186
2001,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4090
2001,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,10487
2001,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,12032
2001,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,7659
2001,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2163
2001,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,5809
2001,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,6629
2001,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,4420
2001,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,1830
2001,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,4291
