year,level_1,level_2,level_3,value
2004,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,21965
2004,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,13331
2004,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4128
2004,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,11734
2004,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,14466
2004,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,9082
2004,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2356
2004,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,6256
2004,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,7776
2004,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,5201
2004,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,2078
2004,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,4801
2004,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,5717
2004,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,3903
2005,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,91379
2005,Residents,Total HDB Dwellings,HDB 3-Room Flats,608511
2005,Residents,Total HDB Dwellings,HDB 4-Room Flats,1194271
2005,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,981865
2005,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3263
2005,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,28417
2005,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,68900
2005,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,69260
2005,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2906
2005,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,28795
2005,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,83163
2005,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,80854
2005,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3419
2005,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,29768
2005,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,91861
2005,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,84657
2005,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3892
2005,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,31456
2005,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,86504
2005,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,71147
2005,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4996
2005,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,38314
2005,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,83192
2005,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,58495
2005,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4466
2005,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,48306
2005,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,92390
2005,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,66451
2005,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4351
2005,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,50232
2005,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,103960
2005,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,91675
2005,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4939
2005,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,49323
2005,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,102257
2005,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,92478
2005,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6362
2005,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,54786
2005,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,109333
2005,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,93322
2005,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8371
2005,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,54741
2005,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,103639
2005,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,84980
2005,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7973
2005,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,49504
2005,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,86207
2005,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,64839
2005,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7890
2005,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,44517
2005,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,64067
2005,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,45637
2005,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6356
2005,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,29945
2005,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,36625
2005,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,24555
2005,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7045
2005,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,27560
2005,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,29889
2005,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,19615
2005,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6326
2005,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,19796
2005,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,23237
2005,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,14347
2005,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4404
2005,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,12224
2005,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,15306
2005,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,9925
2005,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2381
2005,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,6171
2005,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,7963
2005,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,5499
2005,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,2039
2005,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,4656
2005,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,5778
2005,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,4129
2006,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,93676
2006,Residents,Total HDB Dwellings,HDB 3-Room Flats,605224
2006,Residents,Total HDB Dwellings,HDB 4-Room Flats,1208149
2006,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,1002746
2006,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3344
2006,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,27103
2006,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,66118
2006,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,67424
2006,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3059
2006,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,28750
2006,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,81034
2006,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,80117
2006,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3485
2006,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,28547
2006,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,90423
2006,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,84757
2006,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4018
2006,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,31253
2006,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,89693
2006,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,76277
2006,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5013
2006,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,36356
2006,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,83475
2006,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,59849
2006,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4541
2006,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,47401
2006,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,94012
2006,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,68103
2006,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4312
2006,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,49685
2006,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,103497
2006,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,90683
2006,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4799
2006,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,47849
2006,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,100376
2006,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,92624
2006,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6326
2006,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,54342
2006,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,109619
2006,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,93578
2006,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8406
2006,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,54422
2006,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,105277
2006,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,87375
2006,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8407
2006,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,50559
2006,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,90692
2006,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,69038
2006,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8476
2006,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,46500
2006,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,70030
2006,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,50734
2006,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6319
2006,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,28904
2006,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,36845
2006,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,25180
2006,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7432
2006,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,29188
2006,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,32666
2006,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,21397
2006,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6433
2006,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,20213
2006,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,23593
2006,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,14858
2006,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4690
2006,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,12909
2006,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,16158
2006,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,10437
2006,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2484
2006,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,6480
2006,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,8448
2006,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,5895
2006,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,2132
2006,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,4763
2006,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,6193
2006,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,4420
2007,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,97512
2007,Residents,Total HDB Dwellings,HDB 3-Room Flats,609024
2007,Residents,Total HDB Dwellings,HDB 4-Room Flats,1221318
2007,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,1022687
2007,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3698
2007,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,26796
2007,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,64835
2007,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,67059
2007,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3393
2007,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,28171
2007,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,77696
2007,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,78224
2007,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3672
2007,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,28009
2007,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,88873
2007,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,85035
2007,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4453
2007,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,31328
2007,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,92632
2007,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,80748
2007,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5069
2007,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,34678
2007,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,82811
2007,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,60754
2007,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4990
2007,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,47320
2007,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,95678
2007,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,69147
2007,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4302
2007,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,50265
2007,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,104010
2007,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,90137
2007,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4832
2007,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,47973
2007,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,100597
2007,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,93958
2007,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6448
2007,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,53663
2007,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,107952
2007,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,93130
2007,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8326
2007,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,54350
2007,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,105809
2007,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,88720
2007,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8884
2007,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,51752
2007,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,94850
2007,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,73092
2007,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8616
2007,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,46201
2007,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,72804
2007,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,53661
2007,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6974
2007,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,32454
2007,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,42444
2007,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,29349
2007,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7767
2007,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,30017
2007,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,34373
2007,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,22770
2007,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6330
2007,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,20407
2007,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,23407
2007,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,15024
2007,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4958
2007,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,13512
2007,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,16701
2007,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,10970
2007,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2594
2007,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,7026
2007,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,9210
2007,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,6194
2007,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,2206
2007,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,5102
2007,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,6636
2007,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,4715
2008,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,101302
2008,Residents,Total HDB Dwellings,HDB 3-Room Flats,617559
2008,Residents,Total HDB Dwellings,HDB 4-Room Flats,1243034
2008,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,1046011
2008,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4158
2008,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,27235
2008,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,64910
2008,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,66951
2008,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3710
2008,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,28154
2008,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,75371
2008,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,76423
2008,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4052
2008,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,28306
2008,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,87716
2008,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,85346
2008,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4853
2008,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,31671
2008,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,93927
2008,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,83153
2008,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5334
2008,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,34136
2008,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,84696
2008,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,64619
2008,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5333
2008,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,48506
2008,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,100106
2008,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,72214
2008,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4324
2008,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,50437
2008,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,104185
2008,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,87692
2008,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5054
2008,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,48990
2008,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,102665
2008,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,96082
2008,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6610
2008,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,52714
2008,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,106448
2008,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,93190
2008,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8298
2008,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,54432
2008,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,106825
2008,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,90108
2008,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,9348
2008,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,52792
2008,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,98129
2008,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,77201
2008,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8774
2008,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,46796
2008,55-59 Years,Total HDB Dwellings,HDB 4-Room Flats,76668
2008,55-59 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,57023
2008,60-64 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7654
2008,60-64 Years,Total HDB Dwellings,HDB 3-Room Flats,35815
2008,60-64 Years,Total HDB Dwellings,HDB 4-Room Flats,48430
2008,60-64 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,34162
2008,65-69 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,7585
2008,65-69 Years,Total HDB Dwellings,HDB 3-Room Flats,29951
2008,65-69 Years,Total HDB Dwellings,HDB 4-Room Flats,35082
2008,65-69 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,23435
2008,70-74 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6356
2008,70-74 Years,Total HDB Dwellings,HDB 3-Room Flats,21115
2008,70-74 Years,Total HDB Dwellings,HDB 4-Room Flats,23978
2008,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,15722
2008,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5038
2008,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,14050
2008,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,17392
2008,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,11191
2008,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2668
2008,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,7359
2008,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,9780
2008,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,6671
2008,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,2153
2008,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,5100
2008,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,6726
2008,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,4828
2009,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,106133
2009,Residents,Total HDB Dwellings,HDB 3-Room Flats,632943
2009,Residents,Total HDB Dwellings,HDB 4-Room Flats,1272084
2009,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,1069368
2009,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4615
2009,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,28277
2009,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,66935
2009,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,66919
2009,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4104
2009,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,28370
2009,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,73708
2009,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,75343
2009,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4375
2009,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,28647
2009,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,84866
2009,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,83653
2009,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5241
2009,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,31127
2009,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,92981
2009,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,83900
2009,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5689
2009,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,34979
2009,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,89534
2009,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,70879
2009,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5707
2009,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,50139
2009,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,105237
2009,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,74659
2009,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4536
2009,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,52457
2009,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,108261
2009,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,87620
2009,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5254
2009,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,51171
2009,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,106321
2009,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,98379
2009,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6728
2009,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,51803
2009,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,104022
2009,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,92119
2009,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8412
2009,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,55077
2009,45-49 Years,Total HDB Dwellings,HDB 4-Room Flats,108130
2009,45-49 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,91112
2009,50-54 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,9646
2009,50-54 Years,Total HDB Dwellings,HDB 3-Room Flats,53502
2009,50-54 Years,Total HDB Dwellings,HDB 4-Room Flats,100477
2009,50-54 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,80480
2009,55-59 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,9197
2009,55-59 Years,Total HDB Dwellings,HDB 3-Room Flats,47883
