year,level_1,value
2010,25-29 Years,272639
2010,30-34 Years,298687
2010,35-39 Years,320024
2010,40-44 Years,309441
2010,45-49 Years,323459
2010,50-54 Years,303044
2010,55-59 Years,248696
2010,60-64 Years,191995
2010,65-69 Years,111511
2010,70-74 Years,92618
2010,75-79 Years,65178
2010,80-84 Years,39839
2010,85 Years & Over,29241
2011,Residents,3789251
2011,0-4 Years,188249
2011,5-9 Years,208119
2011,10-14 Years,240536
2011,15-19 Years,260738
2011,20-24 Years,255069
2011,25-29 Years,262606
2011,30-34 Years,297555
2011,35-39 Years,316161
2011,40-44 Years,306614
2011,45-49 Years,323991
2011,50-54 Years,308130
2011,55-59 Years,260678
2011,60-64 Years,208160
2011,65-69 Years,112396
2011,70-74 Years,100073
2011,75-79 Years,66909
2011,80-84 Years,42145
2011,85 Years & Over,31122
2012,Residents,3818205
2012,0-4 Years,186673
2012,5-9 Years,206324
2012,10-14 Years,233320
2012,15-19 Years,258861
2012,20-24 Years,264506
2012,25-29 Years,254582
2012,30-34 Years,295396
2012,35-39 Years,313970
2012,40-44 Years,308823
2012,45-49 Years,320925
2012,50-54 Years,310376
2012,55-59 Years,271817
2012,60-64 Years,213996
2012,65-69 Years,128879
2012,70-74 Years,104414
2012,75-79 Years,67675
2012,80-84 Years,44115
2012,85 Years & Over,33553
2013,Residents,3844751
2013,0-4 Years,183295
2013,5-9 Years,205704
2013,10-14 Years,226244
2013,15-19 Years,255066
2013,20-24 Years,266889
2013,25-29 Years,255615
2013,30-34 Years,296870
2013,35-39 Years,305503
2013,40-44 Years,312581
2013,45-49 Years,316336
2013,50-54 Years,312988
2013,55-59 Years,281069
2013,60-64 Years,222154
2013,65-69 Years,145817
2013,70-74 Years,105746
2013,75-79 Years,70619
2013,80-84 Years,46199
2013,85 Years & Over,36056
2014,Residents,3870739
2014,0-4 Years,181369
2014,5-9 Years,205790
2014,10-14 Years,220796
2014,15-19 Years,247337
2014,20-24 Years,263918
2014,25-29 Years,265659
2014,30-34 Years,292287
2014,35-39 Years,302029
2014,40-44 Years,316023
2014,45-49 Years,308533
2014,50-54 Years,315503
2014,55-59 Years,288392
2014,60-64 Years,231502
2014,65-69 Years,161198
2014,70-74 Years,106815
2014,75-79 Years,76294
2014,80-84 Years,48418
2014,85 Years & Over,38876
2015,Residents,3902690
2015,0-4 Years,183575
2015,5-9 Years,204452
2015,10-14 Years,214388
2015,15-19 Years,242902
2015,20-24 Years,264127
2015,25-29 Years,271030
2015,30-34 Years,290619
2015,35-39 Years,301067
2015,40-44 Years,316755
2015,45-49 Years,303413
2015,50-54 Years,315091
2015,55-59 Years,295063
2015,60-64 Years,240493
2015,65-69 Years,182425
2015,70-74 Years,102631
2015,75-79 Years,81211
2015,80-84 Years,51785
2015,85 Years & Over,41663
2016,Residents,3933559
2016,0-4 Years,187160
2016,5-9 Years,201509
2016,10-14 Years,207495
2016,15-19 Years,239771
2016,20-24 Years,260854
2016,25-29 Years,279988
2016,30-34 Years,285544
2016,35-39 Years,301998
2016,40-44 Years,313445
2016,45-49 Years,301183
2016,50-54 Years,315598
2016,55-59 Years,299591
2016,60-64 Years,251853
2016,65-69 Years,198020
2016,70-74 Years,103796
2016,75-79 Years,87955
2016,80-84 Years,53556
2016,85 Years & Over,44243
2017,Residents,3965796
2017,0-4 Years,187653
2017,5-9 Years,200575
2017,10-14 Years,206253
2017,15-19 Years,232973
2017,20-24 Years,259072
2017,25-29 Years,290198
2017,30-34 Years,279340
2017,35-39 Years,300956
2017,40-44 Years,311484
2017,45-49 Years,303457
2017,50-54 Years,312814
2017,55-59 Years,301678
2017,60-64 Years,262651
2017,65-69 Years,203969
2017,70-74 Years,119494
2017,75-79 Years,91953
2017,80-84 Years,54341
2017,85 Years & Over,46935
